name,hd,ra,dec,vmag,class
SAO 258624,,176.9916,-80.862097, 9.4,STAR
SAO 258825,,289.906862,-80.828725, 9.5,STAR
SAO 258675,,204.524554,-80.826731, 9.2,STAR
SAO 258736,,241.073067,-80.788456, 9.5,STAR
SAO 258688,,210.637075,-80.775403, 9.4,STAR
SAO 258673,,204.043967,-80.738311, 9.3,STAR
SAO 258563,,151.23025,-80.730189, 9.2,STAR
SAO 258562,,151.156679,-80.722511, 8.8,STAR
SAO 258843,,298.103429,-80.702958, 8.8,STAR
SAO 258520,,137.8907,-80.66815, 8.9,STAR
SAO 258963,,348.373688,-80.633303, 8.8,STAR
SAO 258800,,279.059729,-80.608208, 9.3,STAR
SAO 258552,,148.742779,-80.604717, 9.2,STAR
SAO 258256,,16.727979,-80.579256, 9.4,STAR
SAO 258309,,39.360421,-80.560375, 9.1,STAR
SAO 258491,,120.438513,-80.539567, 9.1,STAR
SAO 258252,,16.254271,-80.524253, 9.4,STAR
SAO 258610,,171.340717,-80.519639, 9.1,STAR
SAO 258396,,75.551308,-80.4517, 9.2,STAR
SAO 258616,,174.062608,-80.336278, 9.0,STAR
SAO 258811,,282.372363,-80.200461, 9.1,STAR
SAO 258818,,285.385342,-80.161786, 8.9,STAR
SAO 258303,,36.727892,-80.12165, 9.0,STAR
SAO 257159,,217.363204,-80.103381, 8.8,STAR
SAO 256988,,193.659096,-80.073308, 9.2,STAR
SAO 258253,,16.411513,-80.061694, 9.4,STAR
SAO 258867,,309.6566,-80.007494, 9.2,STAR
SAO 256907,,182.184742,-79.991772, 9.1,STAR
SAO 258956,,345.505717,-79.885128,,STAR
SAO 256434,,114.499817,-79.806628, 9.0,STAR
SAO 256584,,136.196433,-79.742861, 8.8,STAR
SAO 257346,,240.677738,-79.573625, 9.2,STAR
SAO 257688,,292.522867,-79.532772, 8.9,STAR
SAO 257009,,196.849042,-79.521064, 9.1,STAR
SAO 257431,,252.262079,-79.361019, 8.7,STAR
SAO 256236,,86.147312,-79.308, 8.7,STAR
SAO 256151,,74.776758,-79.215925, 9.1,STAR
SAO 257911,,320.684721,-79.168794, 9.4,STAR
SAO 256017,,55.403971,-79.138508, 9.1,STAR
SAO 255943,,44.861658,-79.128844, 9.1,STAR
SAO 257539,,269.496883,-79.104739, 9.3,STAR
SAO 256819,,169.097029,-79.087528, 9.2,STAR
SAO 256772,,163.419275,-79.048194, 9.1,STAR
SAO 255961,,46.866829,-78.992961, 9.5,STAR
SAO 255928,,42.265217,-78.958356, 9.2,STAR
SAO 256498,,124.481946,-78.910947, 9.2,STAR
SAO 257761,188136,300.881108,-78.830128, 8.0,STAR
SAO 256141,,72.937433,-78.726892, 8.9,STAR
SAO 257730,,297.054821,-78.726822, 9.1,STAR
SAO 257602,,278.936021,-78.716122, 9.4,STAR
SAO 256190,,81.169271,-78.677011, 9.1,STAR
SAO 257594,,277.498417,-78.671389, 9.5,STAR
SAO 257415,,249.885575,-78.575583, 8.6,STAR
SAO 257339,,239.646196,-78.553722,10.5,STAR
SAO 256474,,121.086742,-78.497803, 9.1,STAR
SAO 256814,,168.488821,-78.314058, 9.0,STAR
SAO 257416,,250.028237,-78.3114, 9.2,STAR
SAO 257629,,282.751467,-78.198456, 9.5,STAR
SAO 256184,,80.477025,-78.154692, 9.1,STAR
SAO 256462,,119.145658,-78.148656, 9.3,STAR
SAO 256840,,171.576933,-78.117772, 9.3,STAR
SAO 255985,,50.370146,-78.070653, 9.2,STAR
SAO 257708,,294.555992,-78.019578, 9.2,STAR
SAO 257176,,219.623167,-78.007264, 8.6,STAR
SAO 256762,,162.654933,-77.970136, 9.5,STAR
SAO 256984,,193.011054,-77.915033, 9.2,STAR
SAO 257533,,268.264883,-77.895636, 8.2,STAR
SAO 256095,,66.266963,-77.885558, 9.1,STAR
SAO 256735,,159.229292,-77.885336, 8.9,STAR
SAO 256045,,58.170796,-77.863597, 8.6,STAR
SAO 257780,,303.357517,-77.863439, 9.0,STAR
SAO 257063,,203.52685,-77.859353, 8.6,STAR
SAO 256010,,54.625692,-77.859208, 9.0,STAR
SAO 257065,,203.575092,-77.845367, 9.3,STAR
SAO 255968,,47.803183,-77.806889, 8.5,STAR
SAO 255827,,28.037546,-77.795661, 9.5,STAR
SAO 255885,,36.207979,-77.753197, 8.7,STAR
SAO 256217,,84.207387,-77.733631, 9.5,STAR
SAO 258093,216911,344.949504,-77.733389, 9.3,STAR
SAO 255942,,44.534925,-77.657964, 8.7,STAR
SAO 255903,,38.210371,-77.627364, 8.7,STAR
SAO 256557,,132.298904,-77.600581, 8.1,STAR
SAO 256127,,71.121238,-77.579647, 9.3,STAR
SAO 256065,,61.764675,-77.565081, 9.0,STAR
SAO 256055,,60.271188,-77.547753, 9.0,STAR
SAO 258195,,358.553796,-77.536822, 9.2,STAR
SAO 256877,,177.397104,-77.521525, 9.0,STAR
SAO 257560,,271.866562,-77.507772, 9.0,STAR
SAO 256079,,64.418071,-77.484444, 9.3,STAR
SAO 257624,,281.849721,-77.472469, 9.1,STAR
SAO 257734,,297.602463,-77.466858, 8.9,STAR
SAO 256906,,182.108017,-77.396669, 9.3,STAR
SAO 257046,,201.882254,-77.367094, 9.4,STAR
SAO 256030,,56.721137,-77.350167, 9.0,STAR
SAO 257606,,279.178104,-77.317597, 9.0,STAR
SAO 257815,,307.973275,-77.200767,10.2,STAR
SAO 257043,,201.666833,-77.171986, 9.1,STAR
SAO 256779,,164.762458,-77.099047, 8.8,STAR
SAO 257499,,262.366275,-77.063814, 9.1,STAR
SAO 257652,,286.565621,-77.045497, 9.2,STAR
SAO 256817,,168.787592,-77.035319, 9.5,STAR
SAO 255825,,27.807054,-77.010658, 9.2,STAR
SAO 257198,,222.462317,-76.992833, 9.2,STAR
SAO 255843,,30.497504,-76.973078, 9.3,STAR
SAO 258015,,333.755183,-76.936914, 9.1,STAR
SAO 257438,,253.660783,-76.808325, 9.3,STAR
SAO 256973,,190.521129,-76.784731, 9.3,STAR
SAO 256783,,165.369579,-76.75145, 9.1,STAR
SAO 257683,,291.704642,-76.721061, 9.4,STAR
SAO 255936,,43.851308,-76.6728, 9.0,STAR
SAO 257953,,326.163763,-76.6501, 9.5,STAR
SAO 257687,,292.1664,-76.624917, 9.8,STAR
SAO 255854,,32.247396,-76.621178, 9.8,STAR
SAO 255972,,48.950946,-76.525547, 9.0,STAR
SAO 258133,,350.6947,-76.493186, 9.7,STAR
SAO 256044,,58.197608,-76.473856, 9.0,STAR
SAO 257436,,253.053333,-76.461964, 9.3,STAR
SAO 256159,,76.079258,-76.359344, 8.9,STAR
SAO 258071,215671,342.443837,-76.350647, 8.7,STAR
SAO 256175,,79.238792,-76.346408, 9.3,STAR
SAO 256176,,79.28905,-76.332719, 9.2,STAR
SAO 255927,,42.340963,-76.311483, 9.2,STAR
SAO 256134,,72.04805,-76.272294, 9.3,STAR
SAO 256012,,54.995308,-76.199675, 9.2,STAR
SAO 256086,,65.7897,-76.185958, 9.1,STAR
SAO 256016,,55.619321,-76.181589, 9.1,STAR
SAO 257081,,205.781075,-76.135567, 9.1,STAR
SAO 257471,,258.079442,-76.101544, 9.0,STAR
