name,hd,ra,dec,vmag,class
SAO 91723,,1.926287,17.088144, 9.1,STAR
SAO 92566,,25.106321,17.091936, 9.3,STAR
SAO 98563,,141.419354,17.095667, 8.7,STAR
SAO 100224,,190.815725,17.098344, 9.2,STAR
SAO 101903,,241.04985,17.100619, 8.7,STAR
SAO 106421,,310.764721,17.102944, 8.8,STAR
SAO 102013,,243.222658,17.105644, 9.2,STAR
SAO 107512,,328.930417,17.108811, 8.7,STAR
SAO 101000,,215.754871,17.109297, 9.0,STAR
SAO 101549,,231.491058,17.111528, 9.0,STAR
SAO 98418,,137.76715,17.112667, 9.0,STAR
SAO 98569,,141.675029,17.112844, 9.1,STAR
SAO 102644,,258.042929,17.113539, 9.2,STAR
SAO 93119,,42.136008,17.114078, 8.8,STAR
SAO 101219,,221.912483,17.116372, 8.3,STAR
SAO 102249,,248.651392,17.116553, 8.3,STAR
SAO 103669,,275.874154,17.118708, 8.4,STAR
SAO 100167,,189.058917,17.121572, 9.0,STAR
SAO 102336,,250.652658,17.121814, 8.3,STAR
SAO 92599,,25.94545,17.122003, 9.0,STAR
SAO 100223,,190.812588,17.12445, 9.3,STAR
SAO 103126,,267.143133,17.129147, 9.5,STAR
SAO 100905,,212.985346,17.129647, 9.2,STAR
SAO 98061,,130.718354,17.133944, 9.0,STAR
SAO 102861,,262.451279,17.138753, 9.3,STAR
SAO 106261,,308.605029,17.138794, 9.0,STAR
SAO 93428,,51.379137,17.142564, 9.1,STAR
SAO 101075,,218.300263,17.144714, 9.0,STAR
SAO 103795,,277.663979,17.145669, 8.9,STAR
SAO 101774,,237.780533,17.146992, 9.2,STAR
SAO 106296,,309.146771,17.148169, 8.6,STAR
SAO 107064,,320.369663,17.149925, 9.3,STAR
SAO 102510,,254.834913,17.156464, 8.7,STAR
SAO 103211,,268.736017,17.159328, 9.0,STAR
SAO 92790,,31.5146,17.163375, 9.0,STAR
SAO 103638,,275.366387,17.163594, 8.8,STAR
SAO 93550,,55.244512,17.164478, 9.0,STAR
SAO 98490,,139.759196,17.166894, 9.2,STAR
SAO 101546,,231.468883,17.169711, 9.2,STAR
SAO 106321,,309.411658,17.1699, 9.2,STAR
SAO 107246,,323.614271,17.1723, 9.3,STAR
SAO 106318,,309.394083,17.1732, 9.3,STAR
SAO 108079,,339.997412,17.173928, 9.1,STAR
SAO 102110,,245.545412,17.175047, 9.3,STAR
SAO 98213,,133.555075,17.176606, 8.6,STAR
SAO 108044,,339.266204,17.177864, 9.2,STAR
SAO 97492,,120.530021,17.180819, 9.1,STAR
SAO 98258,,134.451863,17.181214, 8.9,STAR
SAO 107549,,329.519896,17.182781, 9.2,STAR
SAO 102638,,257.876604,17.185297, 9.0,STAR
SAO 107735,,333.152438,17.185431, 8.8,STAR
SAO 102030,,243.577692,17.188217, 9.1,STAR
SAO 93157,,43.112963,17.188369, 9.4,STAR
SAO 107022,,319.720442,17.190719, 9.1,STAR
SAO 102822,,261.609163,17.192447, 9.0,STAR
SAO 102062,,244.35245,17.195806, 9.0,STAR
SAO 98294,,135.331513,17.196622, 9.4,STAR
SAO 106162,,307.440821,17.198936, 9.0,STAR
SAO 108514,,349.39945,17.19965, 9.2,STAR
SAO 97789,,126.034162,17.200564, 8.6,STAR
SAO 92773,,30.890042,17.203089, 9.4,STAR
SAO 103617,,274.955508,17.203747, 8.1,STAR
SAO 97949,,129.030392,17.206078, 9.2,STAR
SAO 93533,,54.840362,17.207394, 9.2,STAR
SAO 100636,,204.281875,17.209847, 9.2,STAR
SAO 102941,,263.829692,17.210081, 9.2,STAR
SAO 98176,,132.962154,17.210267, 8.8,STAR
SAO 102409,,252.369025,17.210381, 9.2,STAR
SAO 107615,,330.680892,17.211478, 9.3,STAR
SAO 102036,,243.803712,17.213022, 9.1,STAR
SAO 102452,,253.317275,17.213086, 9.3,STAR
SAO 103087,,266.428404,17.213975, 8.5,STAR
SAO 103311,,270.454271,17.222953, 9.2,STAR
SAO 97241,,116.849587,17.222964, 9.0,STAR
SAO 93515,,54.218096,17.223208, 9.4,STAR
SAO 101875,,240.215329,17.224094, 9.3,STAR
SAO 102658,,258.335829,17.224233, 8.6,STAR
SAO 101812,,238.713263,17.224428, 9.1,STAR
SAO 107552,,329.566138,17.227822, 9.5,STAR
SAO 97363,,118.756692,17.228281, 9.1,STAR
SAO 101953,,242.022208,17.229006, 8.9,STAR
SAO 102026,,243.523246,17.230036, 9.0,STAR
SAO 98230,76221,133.845429,17.231353, 5.9,STAR
SAO 101342,,225.57045,17.233636, 9.3,STAR
SAO 103675,,275.982312,17.234975, 8.5,STAR
SAO 103170,,268.151829,17.236511, 9.2,STAR
SAO 106165,,307.493158,17.236719, 8.5,STAR
SAO 98470,,139.176925,17.238256, 9.1,STAR
SAO 101315,,224.768692,17.241189, 9.3,STAR
SAO 103166,,268.11255,17.241356, 8.4,STAR
SAO 100839,,211.152963,17.2425, 8.9,STAR
SAO 108601,,351.354167,17.2438, 9.2,STAR
SAO 91928,,7.584296,17.247142, 9.1,STAR
SAO 97993,,129.684283,17.249192, 9.0,STAR
SAO 92712,,29.204867,17.252033, 9.1,STAR
SAO 101162,,220.662846,17.252311, 9.0,STAR
SAO 97970,,129.3042,17.254225, 9.0,STAR
SAO 103017,,265.224183,17.255553, 8.9,STAR
SAO 93401,,50.341125,17.2556, 9.2,STAR
SAO 100246,,191.514017,17.255642, 9.2,STAR
SAO 97945,,128.968275,17.262903, 9.3,STAR
SAO 97926,,128.789579,17.262936, 9.0,STAR
SAO 96757,,109.706262,17.273139, 9.0,STAR
SAO 102661,,258.412371,17.273564, 9.3,STAR
SAO 107863,,335.620746,17.278022, 9.2,STAR
SAO 97005,,113.261013,17.279136, 9.5,STAR
SAO 98122,,131.8384,17.280256, 8.9,STAR
SAO 100761,,208.480342,17.280592, 9.0,STAR
SAO 107096,,320.890425,17.281169, 9.1,STAR
SAO 100047,,185.011992,17.285472, 8.3,STAR
SAO 97753,70276,125.4289,17.285606, 7.1,STAR
SAO 92627,,26.791763,17.287878, 8.9,STAR
SAO 97955,,129.091042,17.288575, 8.1,STAR
SAO 102292,,249.723604,17.290522, 8.8,STAR
SAO 96778,,109.972992,17.294289, 8.5,STAR
SAO 97056,,113.865688,17.297517, 9.1,STAR
SAO 97592,,122.178562,17.299881, 9.0,STAR
SAO 93109,,41.927012,17.301467, 9.0,STAR
SAO 108851,,357.248112,17.301778, 9.1,STAR
SAO 103834,,278.214717,17.303347, 8.5,STAR
SAO 91694,,1.251171,17.305881, 9.0,STAR
SAO 107105,,321.051058,17.307622, 9.2,STAR
SAO 102227,,247.998708,17.312892, 9.3,STAR
SAO 98529,,140.608167,17.313964, 9.4,STAR
SAO 107566,,329.852354,17.319508, 8.8,STAR
SAO 92665,,27.916358,17.32045, 9.1,STAR
SAO 99770,,176.262033,17.320564, 9.0,STAR
SAO 108022,,338.913313,17.322594, 9.5,STAR
SAO 107027,,319.8832,17.323167, 9.0,STAR
SAO 102328,,250.439067,17.324978, 8.7,STAR
SAO 100035,,184.740375,17.329408, 8.4,STAR
SAO 93490,,53.412429,17.329447, 8.8,STAR
SAO 97969,,129.256154,17.33, 9.1,STAR
SAO 101950,,242.009067,17.330292, 9.1,STAR
SAO 97829,,126.927342,17.330547, 9.2,STAR
SAO 103734,,276.88065,17.334786, 9.3,STAR
SAO 108858,,357.458912,17.336686, 9.2,STAR
SAO 107167,,322.237742,17.337653, 8.5,STAR
SAO 103827,,278.106583,17.339133, 9.1,STAR
SAO 96529,,107.052933,17.340375, 8.6,STAR
SAO 108145,,341.215392,17.343761, 9.1,STAR
SAO 92541,,24.417192,17.346119, 9.3,STAR
SAO 99363,,164.180554,17.346508, 9.1,STAR
SAO 98814,,147.948354,17.351686, 9.1,STAR
SAO 99893,,179.768829,17.352464, 9.4,STAR
SAO 107229,,323.284333,17.352917, 9.2,STAR
SAO 100057,,185.258025,17.353856, 9.1,STAR
SAO 99988,,183.208792,17.355275, 9.2,STAR
SAO 100074,,185.877996,17.355817, 8.8,STAR
SAO 96981,,112.883504,17.356942, 9.0,STAR
SAO 99614,,171.990475,17.356989, 9.3,STAR
SAO 102563,,255.893712,17.358056, 9.0,STAR
SAO 107897,,336.199471,17.360822, 9.1,STAR
SAO 100288,,192.414883,17.360978, 9.2,STAR
SAO 103028,,265.409646,17.364575, 9.2,STAR
SAO 92629,,26.854475,17.366814, 9.0,STAR
SAO 100957,,214.374775,17.372331, 8.8,STAR
SAO 101408,,227.356,17.376875, 9.1,STAR
SAO 92360,,19.6056,17.377847, 9.0,STAR
SAO 100326,,193.537446,17.379606, 8.6,STAR
SAO 103630,,275.184421,17.387139, 7.8,STAR
SAO 103948,,279.677163,17.387408, 9.0,STAR
SAO 103824,,278.09255,17.388608, 9.0,STAR
SAO 101419,,227.802188,17.391014, 8.9,STAR
SAO 99949,,181.869542,17.395508, 9.2,STAR
SAO 101881,,240.314271,17.437025, 8.8,STAR
SAO 107721,,332.830883,17.397281, 9.0,STAR
SAO 100748,,208.19705,17.397728, 8.9,STAR
SAO 101674,,235.096988,17.398211, 9.1,STAR
SAO 96731,,109.383925,17.399911, 8.7,STAR
SAO 97582,,122.043983,17.400039, 8.8,STAR
SAO 97659,,123.342971,17.40355, 9.0,STAR
SAO 101928,,241.5597,17.403583, 9.1,STAR
SAO 103251,,269.485771,17.404517, 8.6,STAR
SAO 107522,,329.110533,17.404731, 9.4,STAR
SAO 98824,,148.344963,17.405903, 9.1,STAR
SAO 97709,,124.382279,17.407908, 9.2,STAR
SAO 96606,,107.882167,17.408614, 8.9,STAR
SAO 103289,,270.101763,17.409225, 8.9,STAR
SAO 101453,,228.532908,17.409561, 9.0,STAR
SAO 101161,,220.588158,17.418608, 9.2,STAR
SAO 100951,,214.097225,17.42335, 8.3,STAR
SAO 101849,,239.734762,17.424367, 9.0,STAR
SAO 97172,,115.703683,17.424581, 8.8,STAR
SAO 103780,,277.435692,17.425317, 8.9,STAR
SAO 96479,,106.461438,17.428533, 8.9,STAR
SAO 99014,,153.499096,17.430211, 8.8,STAR
SAO 108832,,356.743438,17.431267, 9.1,STAR
SAO 97122,,114.907117,17.433075, 8.9,STAR
SAO 98452,,138.693221,17.433081, 9.3,STAR
SAO 99631,,172.435913,17.433444, 9.2,STAR
SAO 108528,,349.56905,17.433786, 9.3,STAR
SAO 101831,,239.261012,17.436597, 9.2,STAR
SAO 100193,,189.758196,17.437078, 9.0,STAR
SAO 99118,,156.597033,17.438319, 9.0,STAR
SAO 107783,,334.032658,17.438942, 9.5,STAR
SAO 101148,,220.335904,17.441844, 9.1,STAR
SAO 92683,,28.402729,17.442667, 8.7,STAR
SAO 103247,,269.379188,17.445414, 9.5,STAR
SAO 107865,,335.678112,17.446031, 9.5,STAR
SAO 103115,,266.942142,17.446931, 8.9,STAR
SAO 97831,,126.942112,17.447061, 9.1,STAR
SAO 108951,,0.011496,17.447472, 9.1,STAR
SAO 98001,,129.772829,17.449167, 9.1,STAR
SAO 101380,,226.851525,17.449478, 9.2,STAR
SAO 102799,,261.051817,17.449833, 8.7,STAR
SAO 99046,,154.565738,17.453247, 9.2,STAR
SAO 98399,,137.462892,17.453786, 9.3,STAR
SAO 107696,,332.394379,17.454139, 9.0,STAR
SAO 108966,,0.330096,17.454928, 9.3,STAR
SAO 107194,,322.743162,17.454964, 9.0,STAR
SAO 108067,,339.764046,17.456292, 9.1,STAR
SAO 98890,,150.061417,17.459789, 9.0,STAR
SAO 92570,,25.200187,17.462033, 8.7,STAR
SAO 92691,,28.689933,17.467011, 9.0,STAR
SAO 98203,,133.457,17.469219, 9.6,STAR
SAO 103604,,274.7649,17.470189, 8.7,STAR
SAO 102207,,247.371454,17.470892, 8.7,STAR
SAO 97299,,117.645892,17.473467, 8.9,STAR
SAO 96595,,107.687146,17.4736, 9.0,STAR
SAO 92850,,33.690683,17.473892, 9.1,STAR
SAO 97535,,121.152075,17.474122, 9.4,STAR
SAO 92831,,32.973017,17.476444, 9.3,STAR
SAO 96771,,109.894242,17.477383, 8.6,STAR
SAO 103836,,278.240825,17.480167, 8.8,STAR
SAO 104017,,280.76835,17.483592, 9.2,STAR
SAO 101128,,219.852254,17.485408, 9.0,STAR
SAO 107858,,335.488488,17.490856, 9.5,STAR
SAO 102190,,247.034112,17.491061, 8.6,STAR
SAO 97195,,116.046292,17.492183, 9.1,STAR
SAO 107784,,334.081479,17.493853, 9.1,STAR
SAO 99055,,154.708754,17.496197, 9.4,STAR
SAO 92624,,26.679258,17.496881, 9.0,STAR
SAO 98163,,132.725071,17.497244, 9.8,STAR
SAO 108685,,353.611296,17.500389, 9.3,STAR
SAO 108702,,353.968704,17.502336, 9.3,STAR
SAO 101195,,221.4397,17.504803, 8.5,STAR
SAO 108228,,343.219883,17.508269, 8.7,STAR
SAO 100984,,215.215538,17.508531, 9.0,STAR
SAO 100123,,187.335775,17.509008, 9.1,STAR
SAO 102926,,263.574904,17.511578, 9.0,STAR
SAO 103731,,276.84425,17.516231, 8.5,STAR
SAO 107975,,337.887304,17.516481, 9.3,STAR
SAO 101769,,237.612988,17.522017, 9.0,STAR
SAO 107920,,336.733533,17.523064, 8.8,STAR
SAO 96727,,109.366275,17.523192, 9.0,STAR
SAO 91875,,5.886142,17.526869, 8.9,STAR
SAO 101313,,224.743292,17.527983, 9.2,STAR
SAO 103550,,274.084179,17.528314, 9.0,STAR
SAO 103899,,279.13795,17.530761, 8.8,STAR
SAO 108535,,349.642046,17.531328, 9.2,STAR
SAO 103815,,277.964396,17.531736, 8.8,STAR
SAO 101098,,218.942621,17.532453, 9.1,STAR
SAO 99267,,160.964433,17.532983, 9.3,STAR
SAO 101730,,236.613133,17.533025, 9.2,STAR
SAO 97758,,125.482696,17.534408, 9.0,STAR
SAO 96785,,110.041988,17.536694, 9.1,STAR
SAO 108928,,359.346075,17.538783, 9.4,STAR
SAO 102735,,259.747225,17.542622, 9.0,STAR
SAO 92985,,37.885475,17.543828, 8.9,STAR
SAO 103184,,268.354129,17.5447, 9.2,STAR
SAO 101984,,242.617221,17.548289, 9.3,STAR
SAO 93415,,51.061437,17.549478, 9.2,STAR
SAO 100275,,192.191921,17.550442, 8.7,STAR
SAO 101169,,220.893967,17.551044, 9.3,STAR
SAO 98513,,140.187312,17.552022, 9.0,STAR
SAO 108653,,352.710367,17.552808, 8.9,STAR
SAO 103777,,277.391183,17.560528, 8.9,STAR
SAO 103623,,275.053954,17.564064, 8.7,STAR
SAO 108083,,340.056125,17.564661, 9.3,STAR
SAO 102439,,253.061283,17.566117, 9.2,STAR
SAO 106727,,314.695029,17.56895, 8.7,STAR
SAO 107313,,324.987638,17.570214, 9.6,STAR
SAO 98937,,151.284775,17.571767, 9.1,STAR
SAO 91842,,4.778371,17.572172, 8.9,STAR
SAO 97333,,118.327771,17.577353, 8.9,STAR
SAO 92808,,32.236187,17.579539, 8.8,STAR
SAO 98289,,135.214383,17.580267, 9.7,STAR
SAO 97229,,116.72675,17.716856, 9.3,STAR
SAO 91982,,8.790812,17.582519, 9.0,STAR
SAO 98699,,144.864133,17.582531, 9.2,STAR
SAO 97306,,117.786587,17.582547, 9.2,STAR
SAO 96510,,106.882533,17.583514, 8.2,STAR
SAO 107994,,338.298054,17.584372, 9.0,STAR
SAO 98158,,132.627083,17.584792, 9.7,STAR
SAO 102923,,263.535383,17.586111, 8.6,STAR
SAO 108507,,349.253054,17.593086, 9.3,STAR
SAO 103599,,274.719254,17.594039, 8.9,STAR
SAO 108551,,350.125175,17.59465, 9.3,STAR
SAO 102176,,246.689258,17.595611, 8.9,STAR
SAO 103136,,267.316225,17.604206, 8.6,STAR
SAO 98898,,150.349762,17.605158, 9.2,STAR
SAO 108561,,350.330287,17.6072, 9.5,STAR
SAO 93277,,46.623496,17.608375, 9.1,STAR
SAO 107673,,331.861321,17.610892, 8.3,STAR
SAO 101181,,221.225887,17.612433, 8.9,STAR
SAO 93480,,53.111346,17.612883, 8.7,STAR
SAO 108811,,356.347996,17.613339, 9.2,STAR
SAO 103202,,268.667704,17.617025, 9.1,STAR
SAO 100426,,196.961412,17.617028, 9.2,STAR
SAO 93112,,41.975308,17.6191, 9.2,STAR
SAO 107668,,331.713762,17.62015, 9.2,STAR
SAO 100145,,188.220504,17.621569, 9.1,STAR
SAO 92849,,33.67965,17.62195, 8.7,STAR
SAO 101629,,233.864808,17.630589, 9.1,STAR
SAO 100811,,210.102583,17.630689, 9.1,STAR
SAO 98368,,136.735754,17.632181, 9.1,STAR
SAO 108718,,354.26885,17.633836, 9.1,STAR
SAO 93266,,46.31105,17.635458, 8.7,STAR
SAO 102313,,250.149054,17.635822, 9.3,STAR
SAO 98413,,137.634408,17.636686, 9.4,STAR
SAO 99021,,153.733612,17.637581, 9.0,STAR
SAO 100977,,214.901321,17.637708, 9.1,STAR
SAO 101309,,224.638146,17.639667, 9.0,STAR
SAO 108728,,354.404921,17.642625, 9.3,STAR
SAO 107248,,323.627879,17.643561, 9.1,STAR
SAO 102685,,258.71735,17.643783, 8.8,STAR
SAO 107643,,331.166633,17.6444, 9.2,STAR
SAO 104012,,280.679083,17.6446, 9.2,STAR
SAO 104014,,280.710958,17.645447, 8.2,STAR
SAO 97911,,128.423642,17.645547, 8.7,STAR
SAO 97173,,115.713354,17.646281, 9.4,STAR
SAO 100938,,213.806017,17.648628, 9.3,STAR
SAO 98585,,141.981925,17.653272, 9.1,STAR
SAO 102636,,257.739454,17.655589, 9.4,STAR
SAO 98826,,148.362346,17.656869, 9.2,STAR
SAO 97749,,125.367854,17.661564, 9.2,STAR
SAO 100143,,188.01195,17.663364, 8.7,STAR
SAO 98234,,133.961187,17.665031, 8.8,STAR
SAO 92813,,32.487437,17.665178, 9.3,STAR
SAO 107679,,331.974592,17.669947, 9.2,STAR
SAO 100329,,193.705767,17.67155, 9.0,STAR
SAO 108740,,354.643512,17.673103, 9.2,STAR
SAO 101006,,215.923896,17.766122, 8.9,STAR
SAO 98387,,137.224642,17.676939, 8.8,STAR
SAO 96721,,109.305633,17.676967, 9.0,STAR
SAO 98210,,133.505921,17.678517, 9.0,STAR
SAO 97438,,119.823521,17.678669, 9.0,STAR
SAO 107985,,338.124192,17.679792, 8.8,STAR
SAO 97331,,118.309442,17.680128, 9.3,STAR
SAO 92210,,15.547337,17.683061, 9.2,STAR
SAO 102379,,251.650442,17.683622, 9.0,STAR
SAO 102660,,258.401117,17.687992, 8.9,STAR
SAO 98160,,132.653604,17.688975, 9.1,STAR
SAO 97329,,118.279496,17.690272, 9.1,STAR
SAO 100781,,209.161708,17.691136, 9.1,STAR
SAO 100334,,193.8185,17.692, 9.1,STAR
SAO 100137,,187.852262,17.692842, 8.6,STAR
SAO 100723,,207.3339,17.693119, 8.6,STAR
SAO 97696,,124.206658,17.693381, 9.2,STAR
SAO 100756,,208.463633,17.695231, 9.2,STAR
SAO 92029,,10.360908,17.696469, 8.9,STAR
SAO 100056,,185.242188,17.69765, 9.3,STAR
SAO 107627,,330.865625,17.698067, 9.3,STAR
SAO 92601,,25.983404,17.713703, 9.2,STAR
SAO 96717,,109.251742,17.718558, 9.2,STAR
SAO 106743,,314.996479,17.719394, 9.3,STAR
SAO 97355,,118.678512,17.719725, 9.0,STAR
SAO 99063,,154.923,17.720536, 9.2,STAR
SAO 107034,,319.931287,17.720919, 8.6,STAR
SAO 108546,,349.976942,17.722353, 9.0,STAR
SAO 92336,,18.976579,17.722811, 9.2,STAR
SAO 98482,,139.628529,17.724053, 9.3,STAR
SAO 107594,,330.397771,17.724828, 9.3,STAR
SAO 93405,,50.635896,17.725022, 9.0,STAR
SAO 97666,,123.506046,17.727003, 8.4,STAR
SAO 96440,,106.055942,17.729767, 9.0,STAR
SAO 98479,,139.545854,17.730925, 9.0,STAR
SAO 99952,,181.881183,17.731158, 8.5,STAR
SAO 108781,,355.637171,17.731908, 9.2,STAR
SAO 107388,,326.589133,17.732744, 8.8,STAR
SAO 100282,,192.215008,17.734683, 9.1,STAR
SAO 106800,,315.796837,17.741753, 8.7,STAR
SAO 100694,,206.398842,17.742206, 9.0,STAR
SAO 108881,,358.239621,17.743419, 9.4,STAR
SAO 108264,,344.013296,17.746031, 9.2,STAR
SAO 107874,,335.825571,17.746283, 9.0,STAR
SAO 93574,,56.143517,17.747431, 8.8,STAR
SAO 98904,,150.436846,17.748464, 9.1,STAR
SAO 108333,,345.248592,17.748725, 9.4,STAR
SAO 102281,,249.510896,17.751336, 7.9,STAR
SAO 102598,,256.720292,17.755986, 9.2,STAR
SAO 108158,,341.428362,17.759578, 9.0,STAR
SAO 98214,,133.577742,17.766467, 9.2,STAR
SAO 96649,,108.461763,17.767056, 9.0,STAR
SAO 107127,,321.359708,17.768961, 9.1,STAR
SAO 107538,,329.313942,17.770992, 9.0,STAR
SAO 102050,,244.067721,17.772231, 8.6,STAR
SAO 106805,,315.851625,17.772983, 9.0,STAR
SAO 108719,,354.276571,17.773531, 9.0,STAR
SAO 101492,,230.021975,17.773828, 8.6,STAR
SAO 93632,,57.656771,17.776503, 8.8,STAR
SAO 92265,,16.999025,17.776686, 9.1,STAR
SAO 102922,,263.482029,17.777539, 9.2,STAR
SAO 97803,,126.360775,17.778167, 9.2,STAR
SAO 103233,,269.151221,17.779997, 9.1,STAR
SAO 99409,,165.518433,17.785117, 9.5,STAR
SAO 102090,,244.944142,17.790256, 8.8,STAR
SAO 92346,,19.290221,17.793453, 9.0,STAR
SAO 94865,247685,86.969942,17.796783, 8.9,STAR
SAO 106876,,317.231392,17.797275, 8.9,STAR
SAO 92718,,29.289783,17.797319, 9.2,STAR
SAO 107660,,331.508133,17.799164, 9.2,STAR
SAO 98589,,142.099987,17.807117, 9.0,STAR
SAO 97914,,128.505212,17.810936, 8.8,STAR
SAO 92716,,29.261796,17.812817, 9.1,STAR
SAO 105349,,297.992183,17.813947, 9.0,STAR
SAO 99575,,170.546212,17.814678, 9.1,STAR
SAO 98975,,152.462679,17.815217, 9.0,STAR
SAO 97308,,117.797225,17.819442, 9.1,STAR
SAO 108057,,339.540512,17.820114, 9.1,STAR
SAO 102814,,261.353504,17.820886, 8.9,STAR
SAO 100809,,209.869025,17.910631, 9.1,STAR
SAO 97813,,126.604317,17.823967, 9.1,STAR
SAO 108419,,347.019383,17.824494, 9.1,STAR
SAO 93426,,51.361004,17.833175, 9.1,STAR
SAO 97887,,127.987733,17.835356, 8.7,STAR
SAO 98597,,142.262017,17.836267, 9.1,STAR
SAO 93855,,64.661479,17.841053, 9.3,STAR
SAO 102988,,264.582233,17.841364, 8.2,STAR
SAO 99894,,179.824583,17.844144, 9.2,STAR
SAO 99274,,161.269979,17.846597, 9.2,STAR
SAO 102098,,245.366463,17.847447, 9.1,STAR
SAO 100808,,209.808312,17.848128, 9.2,STAR
SAO 103920,,279.331642,17.848994, 9.0,STAR
SAO 106763,,315.368858,17.850325, 9.1,STAR
SAO 98330,,135.9739,17.850431, 9.5,STAR
SAO 108000,,338.448638,17.85415, 9.1,STAR
SAO 97100,,114.55185,17.854439, 9.4,STAR
SAO 92033,,10.467917,17.856058, 9.2,STAR
SAO 92081,,11.76825,17.857892, 9.0,STAR
SAO 98714,,145.410583,17.858889, 9.2,STAR
SAO 99606,,171.628921,17.859378, 9.4,STAR
SAO 98895,,150.194104,17.862278, 9.3,STAR
SAO 91933,,7.681637,17.862719, 9.2,STAR
SAO 102782,,260.688013,17.863097, 9.0,STAR
SAO 96528,,107.046167,17.864042, 9.0,STAR
SAO 92567,,25.138475,17.870636, 9.1,STAR
SAO 108184,,342.079329,17.871044, 9.2,STAR
SAO 102389,,251.948654,17.871725, 9.1,STAR
SAO 93559,,55.602362,17.871775, 8.9,STAR
SAO 96751,,109.639763,17.877042, 8.8,STAR
SAO 100724,,207.355704,17.879353, 8.6,STAR
SAO 98170,,132.825396,17.883689, 9.2,STAR
SAO 99070,,155.0813,17.885092, 9.6,STAR
SAO 106769,,315.485771,17.886317, 8.9,STAR
SAO 93535,,54.851308,17.889025, 9.4,STAR
SAO 101317,,224.881996,17.890606, 9.2,STAR
SAO 92010,,9.920975,17.891261, 9.2,STAR
SAO 93184,,43.817846,17.891503, 9.1,STAR
SAO 96750,,109.636833,17.894817, 9.1,STAR
SAO 107785,,334.105875,17.895242, 9.4,STAR
SAO 100429,,197.025621,17.896736, 9.1,STAR
SAO 96821,,110.528992,17.896825, 9.2,STAR
SAO 92928,,36.158196,17.899472, 9.2,STAR
SAO 103196,,268.577854,17.900169, 8.7,STAR
SAO 101871,,240.183171,17.900639, 8.8,STAR
SAO 107511,,328.904254,17.903369, 9.1,STAR
SAO 93069,,40.729804,17.903964, 9.4,STAR
SAO 98325,,135.936588,17.904417, 9.2,STAR
SAO 108142,,341.173067,17.905164, 9.2,STAR
SAO 93519,,54.315442,17.908489, 8.6,STAR
SAO 99611,,171.923104,17.908722, 9.1,STAR
SAO 108711,,354.160229,17.911872, 9.2,STAR
SAO 102966,,264.229242,17.914092, 8.9,STAR
SAO 91785,,3.455692,17.91825, 8.8,STAR
SAO 108105,,340.358121,17.919356, 9.1,STAR
SAO 106865,,317.069313,17.919436, 9.1,STAR
SAO 107982,,338.044379,17.920922, 9.1,STAR
SAO 96819,,110.512271,17.923031, 8.6,STAR
SAO 102562,,255.882342,17.923508, 9.1,STAR
SAO 106978,,318.983083,17.923606, 9.1,STAR
SAO 93199,,44.296775,17.926878, 9.0,STAR
SAO 91730,,2.162546,17.928219, 9.0,STAR
SAO 92872,,34.390308,17.932192, 9.1,STAR
SAO 107420,,327.440875,17.932461, 8.6,STAR
SAO 99246,,160.208304,17.933042, 9.2,STAR
SAO 101193,,221.412133,17.933083, 9.3,STAR
SAO 99116,,156.551821,17.933114, 9.2,STAR
SAO 98820,,148.10635,17.934389, 9.0,STAR
SAO 91948,,7.968467,17.936258, 8.9,STAR
SAO 107404,,327.0591,17.937058, 9.4,STAR
SAO 97872,,127.784946,17.937267, 8.8,STAR
SAO 102385,,251.777875,17.937317, 8.2,STAR
SAO 93241,,45.415238,17.942042, 9.3,STAR
SAO 99264,,160.807562,17.944994, 8.9,STAR
SAO 98313,,135.738304,17.945878, 9.3,STAR
SAO 103139,,267.480979,17.951436, 9.2,STAR
SAO 97393,,119.204892,17.954853, 9.2,STAR
SAO 92171,,14.205262,17.959614, 9.0,STAR
SAO 108425,,347.172475,17.960131, 9.0,STAR
SAO 102732,,259.712679,17.961506, 8.5,STAR
SAO 97001,,113.204175,17.964925, 9.2,STAR
SAO 98429,,138.163987,17.966728, 9.3,STAR
SAO 108953,,0.064167,17.970611, 9.0,STAR
SAO 98271,,134.713329,17.972589, 9.2,STAR
SAO 107220,,323.194979,17.974653, 9.2,STAR
SAO 92252,,16.716342,17.978172, 9.5,STAR
SAO 102583,,256.286921,17.981106, 8.6,STAR
SAO 97877,,127.865,17.981644, 9.1,STAR
SAO 91891,,6.503171,17.983244, 9.2,STAR
SAO 107154,,321.974963,17.985017, 9.5,STAR
SAO 97109,,114.670525,17.985503, 9.2,STAR
SAO 96920,,112.033121,17.990656, 9.1,STAR
SAO 100457,,198.0624,17.990892, 9.2,STAR
SAO 106932,,318.396971,17.995742, 8.5,STAR
SAO 93007,,38.679513,17.996686, 9.0,STAR
SAO 97667,,123.532529,17.997506, 8.9,STAR
SAO 102199,,247.216667,17.998894, 8.2,STAR
SAO 92754,,30.362983,17.999192, 9.1,STAR
SAO 101117,,219.468025,18.004422, 9.2,STAR
SAO 96531,,107.068692,18.009031, 9.2,STAR
SAO 96683,,108.808417,18.009536, 8.9,STAR
SAO 93011,,38.78875,18.011458, 8.8,STAR
SAO 98402,,137.479196,18.011819, 9.6,STAR
SAO 102743,,259.843842,18.015522, 9.1,STAR
SAO 92834,,33.147425,18.021769, 9.0,STAR
